FIPS,Total_Actual_Costs,Total_Standardized_Costs,Part_B_Drugs_Per_Capita_Actual_Costs,Total_Population_Based_Payment_Reduction_Costs,PQI03_Diabetes_LT_Complication_Admission_Rate_(age_<_65),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_65-74),PQI03_Diabetes_LT_Complication_Admission_Rate_(age_75+),PQI07_Hypertension_Admission_Rate_(age_<_65),PQI07_Hypertension_Admission_Rate_(age_65-74),PQI07_Hypertension_Admission_Rate_(age_75+)
22101,60744883.34,66585144.6,232.57, ,,,,,,
22103,203280782.01,212995810.17,246.25, ,,,,,,
22105,142468873.78,150141117.5,247.95, ,,,,,,
22107,10161540.77,11252020.97,149.87, ,,,,,,
22109,108843078.74,116331564.1,269.95, ,,,,,,
22999,,,,*,,,,,,
22111,37958134.47,41617447.22,199.79, ,,,,,,
22113,66986647.25,73913771.26,330.22, ,,,,,,
22115,49147381.27,52687542.1,314.95, ,,,,,,
22117,87610377.98,95999410.5,245.22, ,,,,,,
22119,75353048.8,78521946.12,204.92, ,,,,,,
22121,17929499.09,19125429.18,242.97, ,,,,,,
22123,24220835.55,26419975.78,176.3, ,,,,,,
22125,11004379.78,11961811.13,289.78, ,,,,,,
22127,28103771.37,30914208.43,206.48, ,,,,,,
25001,445970772.17,390304221.36,113.64, ,,,,,,
25003,220591970.25,200476851.65,424.02, ,,,,,,
25005,666654049.52,598936299.78,173.2, ,,,,,,
25007,24767417.58,22198970.02,138.81, ,,,,,,
25009,865295954.15,780662055.7,125.13, ,,,,,,
25011,71609157.91,66079643.26,92.66, ,,,,,,
25013,501444390.69,447820729.11,151.31, ,,,,,,
25015,146644070.46,135963204.54,192.91, ,,,,,,
25017,1408915597.06,1222682083.01,134.14, ,,,,,,
25019,11507356.48,10281349.78,161.76, ,,,,,,
25021,770921181.94,659679372.89,191.2, ,,,,,,
25023,571365350.92,495459813.8,280.98, ,,,,,,
25025,746237969.52,604463632.64,95.03, ,,,,,,
25999,,,,*,,,,,,
25027,614703685.69,532333884.03,153.15, ,,,,,,
24001,127374748.96,122850345.26,161.68, ,,,,,,
24003,523992295.65,479447900.26,319.23, ,,,,,,
24005,1150271567.66,1031269292.93,259.33, ,,,,,,
24510,978833625.9,840928998.28,219.02, ,,,,,,
24009,80998461.09,72664197.84,177.8, ,,,,,,
24011,42569991.74,40890435.83,348.03, ,,,,,,
24013,203336889.7,187956253.52,342.66, ,,,,,,
24015,112817255.62,103317320.21,260.51, ,,,,,,
24017,113303137.88,101091746.7,334.31, ,,,,,,
24019,53921398.83,52414119.02,254.79, ,,,,,,
24021,206337731.53,189036758.14,315.84, ,,,,,,
24023,40372992.71,39783183.12,138.13, ,,,,,,
24025,268138012.4,246123151.63,357.79, ,,,,,,
24027,203055924.73,184456089.47,348.56, ,,,,,,
24029,44422767.45,42381213.06,312.12, ,,,,,,
24031,769504254.46,685112005.19,362.59, ,,,,,,
24033,646048182.31,564310950.76,319.86, ,,,,,,
24035,52612848.53,49530965.16,312.98, ,,,,,,
24039,38927664.87,38420061.74,129.1, ,,,,,,
24037,91175897.6,85180669.85,261.89, ,,,,,,
24041,71890511.15,68800655.31,378.87, ,,,,,,
24999,,,,*,,,,,,
24043,175971149.33,172707765.21,196.52, ,,,,,,
24045,126741410.52,126330856.37,159.52, ,,,,,,
24047,103110107.64,101509698.51,199.51, ,,,,,,
